File,MainStart,MainEnd,ClientStart,ClientEnd
ApplicationAuthWithKeyContents.java,32,37,-1,-1
FullAuth.java,33,39,-1,-1
BasicAuth.java,32,33,-1,-1
ApplicationAuthWithKeyPath.java,32,37,-1,-1
CreateSecret.java,34,37,30,33
ConfigureAccount.java,34,37,30,33
RevokeSecret.java,33,35,29,32
GetBalance.java,34,38,30,33
GetSecret.java,34,37,30,33
ListSecrets.java,35,41,31,34
DeleteApplication.java,34,36,30,33
CreateApplication.java,38,54,34,37
GetApplication.java,35,39,31,34
ListApplications.java,35,41,31,34
UpdateApplication.java,39,77,35,38
BasicInsight.java,35,42,31,34
AdvancedInsight.java,36,67,32,35
StandardInsight.java,35,49,31,34
AdvancedInsightAsync.java,34,39,30,33
AdvancedInsightWithCnam.java,35,73,33,34
AsyncInsightTrigger.java,31,39,-1,-1
ValidateInboundJwt.java,31,46,-1,-1
GenerateJwt.java,33,54,-1,-1
DeleteTheme.java,36,38,31,35
ListThemes.java,35,37,31,34
ListDialInNumbers.java,35,37,31,34
DeleteRecording.java,36,38,31,35
GetRoom.java,37,39,32,36
UploadLogo.java,41,43,36,40
CreateLongTermRoom.java,39,45,34,38
UpdateRoom.java,39,42,34,38
ListRecordings.java,37,39,32,36
UpdateApplication.java,38,42,33,37
ListRoomsByTheme.java,38,40,33,37
UpdateTheme.java,39,42,34,38
CreateInstantRoom.java,37,40,32,36
GetRecording.java,37,39,32,36
ListRooms.java,35,37,31,34
GetTheme.java,37,39,32,36
CreateTheme.java,37,40,32,36
SendSmsText.java,34,41,30,33
SendRcsText.java,34,41,30,33
SendRcsImage.java,34,41,30,33
SendRcsRichCard.java,36,73,32,35
SendRcsSuggestedViewLocation.java,36,61,32,35
RevokeMessage.java,34,35,30,33
SendRcsSuggestedReply.java,36,59,32,35
SendRcsRichCardCarousel.java,36,87,32,35
SendRcsVideo.java,34,41,30,33
SendRcsSuggestedCalendarEvent.java,37,61,33,36
SendRcsFile.java,34,41,30,33
SendRcsSuggestedOpenUrl.java,36,56,32,35
